id;url;nama
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel21E;Tabel21E Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel21F;Tabel21F Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel22;Tabel22 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel23;Tabel23 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel24;Tabel24 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel25;Tabel25 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel26;Tabel26 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27;Tabel27 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27A;Tabel27A Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27B;Tabel27B Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27C;Tabel27C Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27D;Tabel27D Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27E;Tabel27E Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel27F;Tabel27F Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28;Tabel28 Komulatif
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel28A;Tabel28A Komulatif
